title,rating,box_office,budget,runtime,release_year,sadness,joy,love,anger,fear,surprise,Team_Review_Score_sum,Team_Review_Score_mean,Team_Audience_Score_Mean,Team_Tomato_Meter_Mean,Team_Num_reviews,Cast_Review_Score_sum,Cast_Review_Score_mean,Cast_Audience_Score_Mean,Cast_Tomato_Meter_Mean,Cast_Num_reviews,Cast_audienceScore,Cast_tomatoMeter,Team_audienceScore,Team_tomatoMeter,is_in_collection,collection_id,collection_box_office_average,cast_top_1_contrib,cast_top_2_contrib,cast_top_3_contrib,cast_top_4_contrib,cast_top_5_contrib,director_top_1_contrib,writer_top_1_contrib,writer_top_2_contrib,writer_top_3_contrib,distributor_top_1_contrib,,sony pictures releasing,universal pictures,warner bros.,new line cinema,columbia pictures,warner bros. pictures,buena vista pictures distribution,paramount pictures,20th century fox,surround,dolby sr,dts,sdds,dolby digital,some violence,some language,drug use,violence,sexual content,thematic elements,sexuality,nudity,language,pervasive language,action,sci-fi,romance,kids & family,drama,adventure,comedy,horror,fantasy,mystery & thriller,Unknown Cast,Star Studded Cast,Steady Performers,Emerging Ensemble,Unknown Director / Writer,Established Team,Blockbuster Team,Emerging Director / Writer
10,0,74865517.0,0.0,122.0,1979.0,0.0084891524165868,0.0200572051107883,0.0078723626211285,0.4425910115242004,0.5163715481758118,0.0046187150292098,,,,,,,,,,,,,,,False,0.0,0.0,188673103.4,157626701.2857143,55723684.4117647,53782758.5,46633103.4,21533978.636363637,32199417.625,,,144026079.2747604,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
10 cloverfield lane,3,110200000.0,13.0,104.0,2016.0,0.0072008008137345,0.0008305552764795,0.0003105374926235,0.0064457692205905,0.9845149517059326,0.0006973500130698,6.5997,0.329985,89.35,93.15,20.0,14.415299999999998,0.3603824999999999,57.375,64.825,40.0,71.0,86.0,79.0,88.0,False,0.0,0.0,110200000.0,100360156.70588236,72228532.14285715,,,110200000.0,110200000.0,110200000.0,70333333.33333333,96204226.7745098,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
10 things i hate about you,0,53700000.0,13000000.0,97.0,1999.0,0.0010868064127862,0.9889835715293884,0.0023368431720882,0.0046431650407612,0.0013266277965158,0.0016229988541454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,69.0,71.0,False,0.0,0.0,148943474.63636363,147394419.66666666,137489292.76923078,39904482.14285714,31650000.0,46800000.0,92616666.66666667,,,89519306.73285198,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
10 to midnight,0,7000000.0,4000000.0,102.0,1983.0,0.0018968196818605,0.0010971230221912,0.0010829641250893,0.1338969320058822,0.859269380569458,0.0027568023651838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,43.0,90.0,79.0,False,0.0,0.0,161650000.0,51412500.0,11227361.0,7000000.0,4186197.0,9442588.222222222,7000000.0,,,4653036.909090909,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False
10000 bc,3,269800000.0,105000000.0,109.0,2008.0,0.0969176217913627,0.4772368669509887,0.0121031608432531,0.0976628139615058,0.3081903457641601,0.0078892009332776,,,,,,,,,,,,,,,False,0.0,0.0,128189577.81818181,102814545.66666667,65482522.71428572,,,446527272.72727275,530500000.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
101 dalmatians,0,320700000.0,67000000.0,103.0,1996.0,0.0007559711812064,0.0005027282750234,0.0002899402752518,0.0036984572652727,0.993822455406189,0.0009305368294008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,86.0,44.0,27.0,True,124916.0,252150000.0,100916666.66666667,91346056.07142857,77596766.91666667,63616419.192307696,,65445233.7,252150000.0,92365217.39130434,,89519306.73285198,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False
102 dalmatians,0,183600000.0,85000000.0,100.0,2000.0,0.2477100789546966,0.1105720847845077,0.0047006616368889,0.6178144216537476,0.0177962984889745,0.0014064500574022,,,,,,,,,,,,,,,True,124916.0,252150000.0,280320000.0,117942130.27272727,92450000.0,91824000.0,91346056.07142857,187233333.33333334,252150000.0,183600000.0,181566666.66666666,89519306.73285198,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
12 rounds,3,17300000.0,6700000.0,109.0,2009.0,0.0054296003654599,0.014539610594511,0.0017807524418458,0.8559958934783936,0.1211592406034469,0.0010948973940685,8.0293,0.2361558823529411,49.23529411764706,28.264705882352946,34.0,1.2467,0.1558375,58.375,23.625,8.0,52.0,57.0,45.0,31.0,True,221622.0,17300000.0,64125000.0,60536487.5,36433333.333333336,31875000.0,9200000.0,94453651.61538461,17300000.0,,,105403546.78305785,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
12 years a slave,6,187700000.0,20.0,134.0,2013.0,0.0319529436528682,0.0151330716907978,0.0014996672980487,0.936913251876831,0.0134107023477554,0.0010902610374614,20.3257,0.3629589285714286,74.61818181818182,77.5,56.0,46.4352,0.3491368421052631,68.90225563909775,70.52631578947368,133.0,65.0,67.0,84.0,80.0,False,0.0,0.0,228188683.3,218955169.0,143850000.0,80475940.0909091,67506692.0,187700000.0,87183333.33333333,,,74436787.23376623,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
13 eerie,0,21200000.0,3000000.0,87.0,2013.0,0.010187710635364,0.0025931519921869,0.0005491273477673,0.0147432554513216,0.9700636267662048,0.001863059354946,0.0,0.0,0.0,0.0,0.0,0.6949,0.0631727272727272,65.0,73.3,11.0,52.0,62.0,46.0,65.0,False,0.0,0.0,24650000.0,21200000.0,21200000.0,16419636.666666666,10886390.5,21200000.0,21200000.0,,,41753926.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
